shop,name,url,price,score,trading,review
居家夫人旗舰店,居家夫人菜刀德国不锈钢家用刀具切菜刀厨刀斩骨刀切片刀厨房菜刀,https://detail.tmall.com/item.htm?id=39016242410&skuId=4611686057443630314&user_id=875874454&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,68.00,5172.0,237笔,4698
newair维艾旗舰店,维艾刀具套装菜刀厨房套刀德国套装组合不锈钢一体家用全套厨具,https://detail.tmall.com/item.htm?id=16915556761&skuId=63616108994&user_id=822941990&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,148.00,17616.0,1808笔,1.4万
张小泉秉善专卖店,张小泉菜刀套装 商超套刀七件套刀具 厨房套装 不锈钢菜刀N5490,https://detail.tmall.com/item.htm?id=528293078544&skuId=3171845414635&user_id=2824527807&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,139.00,1655.0,548笔,559
仕利雅旗舰店,仕利雅刀具套装家用全套厨房刀具厨具水果刀组合德国不锈钢菜刀,https://detail.tmall.com/item.htm?id=44757976792&skuId=3197874396576&user_id=2069429190&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,158.00,7965.0,1095笔,5775
苏泊尔沃克尔专卖店,苏泊尔刀具七件套不锈钢家用厨房刀具切片刀砍骨刀菜刀套装TK1609,https://detail.tmall.com/item.htm?id=530886958343&skuId=3424007087574&user_id=1651369203&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,199.00,1788.0,299笔,1190
方太家居旗舰店,方太菜刀切菜刀厨房家用切片刀不锈钢厨房刀具套装厨师刀切肉刀,https://detail.tmall.com/item.htm?id=535345815042&skuId=3409869554659&user_id=2899772280&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,49.00,24847.0,1.1万笔,2847
supor苏泊尔相宾久专卖店,苏泊尔不锈钢刀具套装 菜刀家用套装厨房七件全套刀具组合菜刀,https://detail.tmall.com/item.htm?id=525585242009&skuId=3418499662014&user_id=2680159906&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,239.00,4573.0,1960笔,653
德世朗礼源专卖店,德世朗菜刀套装德国进口不锈钢切片刀切肉水果锻打家用厨房套刀具,https://detail.tmall.com/item.htm?id=532992089763&skuId=4611686551419477667&user_id=2460731286&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,219.00,323.0,46笔,231
supor苏泊尔大松专卖店,苏泊尔刀具套装 厨房 刀具全套组合不锈钢菜刀套装切菜刀多用刀,https://detail.tmall.com/item.htm?id=528344628645&skuId=3408006495743&user_id=2777150351&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,79.00,830.0,362笔,106
sangpengtang尚朋堂旗舰店,尚朋堂陶瓷刀套装 菜刀 德国厨房刀具切肉刀切片刀水果刀厨房刀具,https://detail.tmall.com/item.htm?id=539601028321&skuId=3233908456465&user_id=1678257123&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,99.00,1252.0,508笔,236
woll弗欧旗舰店,WOLL德国不锈钢全套刀具厨房菜刀套装全套厨房组合菜刀料理刀,https://detail.tmall.com/item.htm?id=522641415745&skuId=4611686541068803649&user_id=1023459968&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,688.00,282.0,106笔,70
博麦家居专营店,八方客锻打不锈钢加厚大砍骨刀剁斩切骨头斧屠宰家用菜刀厨房刀具,https://detail.tmall.com/item.htm?id=540872055945&skuId=3244810037620&user_id=3014361455&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,99.00,374.0,176笔,22
